rank_director;director;box_office_director;movies_director;average_director
494;Paul Thomas Anderson;339,641,098;9;37,737,900
495;Peter Hewitt;336,023,821;8;42,002,978
496;Joe Carnahan;335,996,059;10;33,599,606
497;Jonathan Frakes;334,820,272;6;55,803,379
498;Robert Altman;334,567,594;22;15,207,618
499;Chao Deng;333,329,075;3;111,109,692
500;Baimei Yu;333,329,075;3;111,109,692
501;Randall Wallace;332,916,234;4;83,229,059
502;Richard Curtis;332,651,725;3;110,883,908
503;Peter Faiman;332,474,528;2;166,237,264
504;Jon Avnet;332,248,813;8;41,531,102
505;Rob Bowman;331,011,050;4;82,752,763
506;Alexandre Aja;330,204,458;10;33,020,446
507;Chris McKay;329,790,560;5;65,958,112
508;Olivier Magaton;327,656,424;1;327,656,424
509;Gary Winick;327,346,184;6;54,557,697
510;Howard Deutch;326,558,383;10;32,655,838
511;Allen Hughes;326,442,664;9;36,271,407
512;Richard Linklater;324,121,253;21;15,434,345
513;Wayne Wang;323,421,384;17;19,024,787
514;Michael Chaves;323,405,584;2;161,702,792
515;John Hughes;322,270,786;8;40,283,848
516;Jonathan Levine;322,174,268;7;46,024,895
517;James DeMonaco;321,316,189;5;64,263,238
518;Steven Quale;319,727,892;5;63,945,578
519;Greg Mottola;319,570,985;8;39,946,373
520;Beeban Kidron;318,601,467;5;63,720,293
521;Jose Padilha;316,917,988;4;79,229,497
522;Roger Kumble;315,684,194;8;39,460,524
523;Miloš Forman;315,580,403;9;35,064,489
524;Ron Shelton;315,251,774;9;35,027,975
525;Andrew Niccol;314,168,662;7;44,881,237
526;Christopher Landon;312,400,900;7;44,628,700
527;Nitesh Tiwari;312,196,887;4;78,049,222
528;David Lam;311,076,548;6;51,846,091
529;Paul Tibbitt;311,013,181;1;311,013,181
530;Josh Gordon;310,550,887;5;62,110,177
531;Will Speck;310,550,887;5;62,110,177
532;Stephen Norrington;310,502,892;2;155,251,446
533;Phil Alden Robinson;310,490,792;5;62,098,158
534;Breck Eisner;308,909,836;3;102,969,945
535;Jackie Chan;307,760,223;6;51,293,371
536;Tian Yusheng;307,547,824;1;307,547,824
537;John Carpenter;306,470,568;20;15,323,528
538;George Tillman, Jr;305,973,896;9;33,997,100
539;Tony Chan;304,345,923;5;60,869,185
540;Richard Attenborough;303,289,110;10;30,328,911
541;Gregory Hoblit;302,816,037;5;60,563,207
542;David Green;302,803,370;5;60,560,674
543;Charles Shyer;302,578,210;7;43,225,459
544;Gary Fleder;302,367,519;7;43,195,360
545;Andrzej Bartkowiak;298,879,572;7;42,697,082
546;Greta Gerwig;297,840,432;3;99,280,144
547;Kenny Ortega;297,244,945;8;37,155,618
548;Simon Wincer;296,435,626;11;26,948,693
549;Joe Roth;295,003,018;5;59,000,604
550;Fede Álvarez;292,931,639;4;73,232,910
551;Hoyt H. Yeatman;292,817,841;1;292,817,841
552;Luke Greenfield;292,651,510;5;58,530,302
553;David Twohy;292,595,387;6;48,765,898
554;Josh Trank;292,290,602;3;97,430,201
555;Cheang Pou-Soi;291,628,574;3;97,209,525
556;Carl Reiner;291,264,710;11;26,478,610
557;Aaron Seltzer;291,264,066;8;36,408,008
558;Steven S. DeKnight;290,930,148;1;290,930,148
559;David Lean;288,905,053;9;32,100,561
560;Jesse Dylan;288,196,929;3;96,065,643
561;Florian Henckel von Donnersmarck;287,780,320;2;143,890,160
562;Benny Chan;286,828,990;6;47,804,832
563;Theodore Melfi;286,608,950;4;71,652,238
564;Soi Cheang;282,929,944;3;94,309,981
565;Chris Noonan;281,991,257;2;140,995,629
566;Richard Benjamin;280,990,191;11;25,544,563
567;John R. Leonetti;280,344,647;4;70,086,162
568;Greg MacGillivray;279,572,920;10;27,957,292
569;Peter Cattaneo;279,421,920;4;69,855,480
570;Richard LaGravenese;278,005,964;7;39,715,138
571;Steve Rodney McQueen;277,355,474;6;46,225,912
572;Scott Waugh;277,308,153;4;69,327,038
573;Scott Hicks;277,220,065;8;34,652,508
574;Yuen Woo Ping;276,653,124;6;46,108,854
575;Alejandro Amenábar;276,428,035;5;55,285,607
576;Leigh Whannell;276,426,490;4;69,106,623
577;James McTeigue;276,214,518;5;55,242,904
578;Roar Uthaug;276,125,838;3;92,041,946
579;Kobun Shizuno;275,824,547;10;27,582,455
580;John Guillermin;274,963,148;10;27,496,315
581;Cody Cameron;274,392,649;1;274,392,649
582;Kris Pearn;274,392,649;2;137,196,325
583;Mathieu Kassovitz;271,968,006;4;67,992,002
584;Charles Martin Smith;271,677,395;8;33,959,674
585;Boaz Yakin;268,257,546;9;29,806,394
586;Peter Chan;268,045,617;4;67,011,404
587;James Algar;268,000,000;2;134,000,000
588;Cal Brunker;266,460,835;4;66,615,209
589;Simon Kinberg;265,260,610;2;132,630,305
590;Harold Becker;265,167,718;9;29,463,080
591;Kevin Smith;264,715,374;18;14,706,410
592;Marcus Nispel;264,483,481;4;66,120,870
593;Wilfred Jackson;263,609,844;3;87,869,948
594;Mel Smith;263,583,620;5;52,716,724
595;Trish Sie;263,540,796;4;65,885,199
596;Steve Barron;261,771,020;7;37,395,860
597;Roberto Benigni;261,637,240;4;65,409,310
598;Wuershan;261,281,646;2;130,640,823
599;Jay Russell;260,944,537;6;43,490,756
600;Gil Kenan;257,354,333;4;64,338,583
601;Howard Zieff;257,338,596;7;36,762,657
602;John Huston;256,313,051;20;12,815,653
603;Camille Delamarre;256,050,676;3;85,350,225
604;Joe Pytka;255,151,472;2;127,575,736
605;Justin Kurzel;255,020,990;6;42,503,498
606;Oliver Parker;254,159,116;7;36,308,445
607;Lee Daniels;251,127,409;5;50,225,482
608;Peter Howitt;250,484,531;4;62,621,133
609;Eduardo Sanchez;248,743,453;6;41,457,242
610;Daniel Myrick;248,300,000;2;124,150,000
611;Anthony Leondis;247,578,189;2;123,789,095
612;Iain Softley;247,489,350;8;30,936,169
613;Bora Dagtekin;247,464,175;3;82,488,058
614;Sofia Coppola;247,028,603;7;35,289,800
615;Jeff Wadlow;246,322,255;8;30,790,282
616;Dexter Fletcher;246,087,562;5;49,217,512
617;Li Wei;245,772,433;3;81,924,144
618;Ben Falcone;245,105,970;5;49,021,194
619;Pierre Perifel;244,686,688;1;244,686,688
620;Teng Cheng;243,883,429;1;243,883,429
621;Tommy Wirkola;243,133,285;9;27,014,809
622;Robert Benton;242,080,191;8;30,260,024
623;Sam Weisman;238,815,423;4;59,703,856
624;Da Peng;238,564,588;2;119,282,294
625;David Cronenberg;238,352,792;21;11,350,133
626;Ronny Yu;238,351,138;4;59,587,785
627;Tom Vaughan;238,350,483;5;47,670,097
628;Frank Miller;238,184,948;3;79,394,983
629;Klay Hall;238,059,569;1;238,059,569
630;Hamilton Luske;237,601,581;3;79,200,527
631;James Gray;237,410,600;9;26,378,956
632;Russell Mulcahy;237,337,364;12;19,778,114
633;Jon Hurwitz;236,799,211;1;236,799,211
634;Hayden Schlossberg;236,799,211;1;236,799,211
635;Rao Xiaozhi;235,862,743;2;117,931,372
636;Ric Roman Waugh;235,170,791;7;33,595,827
637;Steve Bendelack;234,981,342;1;234,981,342
638;Scott Cooper;234,351,416;7;33,478,774
639;David S. Goyer;233,103,892;4;58,275,973
640;Jeannot Szwarc;232,906,411;6;38,817,735
641;Dany Boon;232,068,240;4;58,017,060
642;Tyler Gillett;231,826,495;6;38,637,749
643;Matt Bettinelli-Olpin;231,826,495;6;38,637,749
644;Gary Dauberman;231,252,591;2;115,626,296
645;Jared Bush;230,848,009;1;230,848,009
646;Michael Lehmann;230,411,908;9;25,601,323
647;Derek Tsang;230,104,810;1;230,104,810
648;Martin McDonagh;229,026,265;4;57,256,566
649;Gavin O’Connor;227,775,088;7;32,539,298
650;Simon Curtis;225,670,008;5;45,134,002
651;Dean Devlin;225,577,647;2;112,788,824
652;Choi Dong-hoon;225,255,119;4;56,313,780
653;Philippe de Chauveron;225,027,792;5;45,005,558
654;Hideaki Anno;224,936,692;6;37,489,449
655;Huida Lin;223,770,600;2;111,885,300
656;Alfred Hitchcock;223,608,674;39;5,733,556
657;Jason Moore;222,075,007;4;55,518,752
658;William Brent Bell;221,471,533;7;31,638,790
659;Hideo Nakata;221,293,586;14;15,806,685
660;John Frankenheimer;220,705,100;20;11,035,255
661;Stephen Anderson;220,698,326;2;110,349,163
662;Andrew Bergman;220,546,898;6;36,757,816
663;Tomoka Nagaoka;220,430,050;2;110,215,025
664;Toni Myers;220,399,706;3;73,466,569
665;Gary Shore;220,293,115;2;110,146,558
666;Ted Kotcheff;220,127,161;10;22,012,716
667;Jonathan Goldstein;219,684,584;3;73,228,195
668;John Francis Daley;219,684,584;3;73,228,195
669;Lewis Gilbert;218,959,300;4;54,739,825
670;Philip Kaufman;217,829,667;10;21,782,967
671;Danny DeVito;217,014,915;6;36,169,153
672;Babak Najafi;216,903,624;4;54,225,906
673;Leon Ding;216,067,512;3;72,022,504
674;Angus Maclane;215,685,060;1;215,685,060
675;Ben Stassen;215,038,935;8;26,879,867
676;Gary Rydstrom;214,981,252;3;71,660,417
677;Joel Crawford;214,877,172;3;71,625,724
678;Fei Yan;214,579,747;2;107,289,874
679;Da-Mo Peng;213,949,747;1;213,949,747
680;Steven Caple Jr;213,635,278;3;71,211,759
681;Ryuichi Yagi;213,606,471;2;106,803,236
682;Spike Jonze;212,081,794;5;42,416,359
683;Kevin Greutert;211,680,368;6;35,280,061
684;David Koepp;210,525,719;7;30,075,103
685;Michael Sucsy;210,444,191;3;70,148,064
686;Gilbert Lewis;210,300,000;1;210,300,000
687;Peter Yates;209,721,612;15;13,981,441
688;Kevin MacDonald;209,584,485;10;20,958,449
689;Rene Liu;209,221,328;1;209,221,328
690;Thea Sharrock;208,064,908;3;69,354,969
691;Clark Johnson;207,312,103;3;69,104,034
692;George A. Romero;207,303,458;17;12,194,321
693;Kabir Khan;207,239,475;5;41,447,895
694;Michael Spierig;207,015,925;4;51,753,981
695;Peter Spierig;207,015,925;4;51,753,981
696;Ryan Murphy;206,790,663;4;51,697,666
697;Rob Zombie;206,743,801;10;20,674,380
698;Jim Sheridan;205,830,534;9;22,870,059
699;Kevin Rodney Sullivan;205,631,244;4;51,407,811
700;Dwight H. Little;205,555,302;11;18,686,846
701;Guo Jingming;205,485,806;4;51,371,452
702;Brad Lewis;205,162,666;1;205,162,666
703;Niki Caro;205,033,418;8;25,629,177
704;Sarah Smith;204,696,958;2;102,348,479
705;Burr Steers;204,591,290;3;68,197,097
706;David McNally;204,475,056;2;102,237,528
707;Mike Flanagan;202,749,833;7;28,964,262
708;Cathy Yan;201,919,818;3;67,306,606
709;Kim Yong-hwa;200,930,165;2;100,465,083
710;Rajkumar Hirani;200,659,909;3;66,886,636
711;Ava Duvernay;200,228,497;5;40,045,699
712;John Schlesinger;200,176,980;15;13,345,132
713;Rohit Shetty;200,132,857;9;22,236,984
714;Chiyu Zhang;199,860,000;1;199,860,000
715;Jonathan Lynn;199,513,299;7;28,501,900
716;Sam Quah;199,276,793;1;199,276,793
717;Xiao Lu Xue;199,085,416;2;99,542,708
718;Huang Bo;198,330,770;1;198,330,770
719;Terrence Malick;198,241,986;10;19,824,199
720;Johannes Roberts;197,806,629;9;21,978,514
721;Steve Box;197,593,152;1;197,593,152
722;Shekhar Kapur;197,028,961;8;24,628,620
723;Michael Engler;196,121,143;2;98,060,572
724;Scott Speer;195,399,828;7;27,914,261
725;Hiromasa Yonebayashi;195,312,045;3;65,104,015
726;Paul Haggis;195,007,414;5;39,001,483
727;Oren Peli;194,190,590;2;97,095,295
728;Alex Kendrick;193,410,415;6;32,235,069
729;Tatsuya Nagamine;193,316,986;2;96,658,493
730;Jay Chandrasekhar;192,986,846;7;27,569,549
731;Pete Travis;192,418,433;4;48,104,608
732;Ted Demme;191,320,280;7;27,331,469
733;Takaski Shimizu;191,193,140;2;95,596,570
734;Seong-Hu Park;190,291,749;1;190,291,749
735;John Erick Dowdle;189,947,470;6;31,657,912
736;Woo-seok Yang;188,388,307;4;47,097,077
737;Jazz Boon;188,065,089;3;62,688,363
738;Han-Min Kim;186,211,608;2;93,105,804
739;Felix Chong;186,027,770;1;186,027,770
740;Victor Salva;185,757,450;5;37,151,490
741;Ericson Core;185,205,718;3;61,735,239
742;David Hand;184,925,486;1;184,925,486
743;Irwin Winkler;184,789,363;6;30,798,227
744;Nimrod Antal;184,578,523;5;36,915,705
745;Paul Mazursky;183,464,162;10;18,346,416
746;Doug Sweetland;183,353,431;1;183,353,431
747;Aaron Nee;183,324,626;3;61,108,209
748;Adam Nee;183,324,626;3;61,108,209
749;Neil LaBute;182,721,616;12;15,226,801
750;Alastair Fothergill;182,435,954;11;16,585,087
751;Seung-wan Ryoo;181,982,428;5;36,396,486
752;Nick Castle;181,688,675;4;45,422,169
753;Tobe Hooper;181,673,538;9;20,185,949
754;Bennett Miller;180,527,972;3;60,175,991
755;Dennis Gansel;180,232,084;6;30,038,681
756;Nigel Cole;180,203,794;5;36,040,759
757;Stuart Baird;179,912,795;2;89,956,398
758;Scott Stewart;179,557,103;4;44,889,276
759;Miguel Arteta;179,381,324;8;22,422,666
760;William Wyler;179,067,299;12;14,922,275
761;Bob Clark;178,684,183;8;22,335,523
762;Tod Williams;178,531,507;2;89,265,754
763;Yuichi Fukuda;177,931,342;7;25,418,763
764;Ron Underwood;177,745,653;4;44,436,413
765;David Lowery;177,451,644;7;25,350,235
766;Patrick Lussier;176,878,962;5;35,375,792
767;Jared Hess;176,421,105;7;25,203,015
768;Mo Dai;176,420,000;1;176,420,000
769;Jiang Wen;176,258,656;4;44,064,664
770;Dean Israelite;175,440,989;4;43,860,247
771;Niels Arden Oplev;174,195,623;5;34,839,125
772;Marco Brambilla;173,407,200;2;86,703,600
773;Forest Whitaker;173,400,240;3;57,800,080
774;Colin Higgins;173,002,327;2;86,501,164
775;Brad Furman;172,626,127;5;34,525,225
776;Peter Billingsley;172,539,969;2;86,269,985
777;Greg Berlanti;171,408,470;3;57,136,157
778;Brett Leonard;171,332,425;8;21,416,553
779;Derek Kwok;171,248,617;2;85,624,309
780;Mark Linfield;170,767,670;5;34,153,534
781;John Boorman;170,328,519;13;13,102,194
782;Richard Fleischer;168,752,822;17;9,926,637
783;Lorene Scafaria;167,766,614;3;55,922,205
784;Angelina Jolie;167,764,763;6;27,960,794
785;Steve Pink;167,555,057;7;23,936,437
786;XiaoPeng Tian;166,968,128;1;166,968,128
787;Peter Bogdanovich;166,583,363;12;13,881,947
788;John Whitesell;166,148,574;6;27,691,429
789;Cedric Nicolas-Troyan;165,149,302;2;82,574,651
790;Troy Quane;165,138,481;2;82,569,241
791;Nick Bruno;165,138,481;2;82,569,241
792;Carl Franklin;165,111,774;7;23,587,396
793;Barbet Schroeder;162,575,915;11;14,779,629
794;Paul McGuigan;162,213,368;8;20,276,671
795;Franco Zeffirelli;162,101,775;12;13,508,481
796;Kim Jee-woon;162,038,072;6;27,006,345
797;Mans Marlind;161,123,188;3;53,707,729
798;Garth Davis;161,112,900;2;80,556,450
799;Björn Stein;161,088,683;2;80,544,342
800;Michel Hazanavicius;160,704,778;8;20,088,097
801;Yu Shan Chen;160,687,692;3;53,562,564
802;Prashanth Neel;160,543,275;3;53,514,425
803;Fred Schepisi;160,463,570;13;12,343,352
804;Richard Loncraine;160,402,385;8;20,050,298
805;Jon Erwin;160,021,804;8;20,002,726
806;Andrew Erwin;160,021,804;8;20,002,726
807;David Kerr;159,378,778;2;79,689,389
808;Wong Amp;158,354,730;2;79,177,365
809;John Polson;157,780,969;2;78,890,485
810;Sylvain White;157,336,836;4;39,334,209
811;Griffin Dunne;157,080,746;6;26,180,124
812;Rupert Wainwright;157,064,028;3;52,354,676
813;Jessie Nelson;156,952,327;3;52,317,442
814;Bobs Gannaway;156,399,644;1;156,399,644
815;Luis Llosa;155,993,560;2;77,996,780
816;Stan Dragoti;155,666,897;5;31,133,379
817;Barbra Streisand;155,067,309;3;51,689,103
818;Ali Abbas Zafar;154,764,535;4;38,691,134
819;Paul Weiland;154,326,150;5;30,865,230
820;Tom McCarthy;153,821,075;8;19,227,634
821;Etan Cohen;153,638,058;2;76,819,029
822;Zhang Hongwei;153,018,738;1;153,018,738
823;John A. Davis;152,603,434;2;76,301,717
824;Thurop Van Orman;152,491,897;1;152,491,897
825;Carl Rinsch;151,716,815;1;151,716,815
826;Jean-Marc Vallee;151,639,860;5;30,327,972
827;Gavin Lin;151,056,221;1;151,056,221
828;James Ivory;150,472,226;18;8,359,568
829;Cecil B. DeMille;150,258,670;10;15,025,867
830;Sheng Ding;149,335,195;6;24,889,199
831;Kazuya Tsurumaki;149,308,334;3;49,769,445
832;Neveldine & Taylor;149,217,355;1;149,217,355
833;Laurent Tirard;146,208,558;6;24,368,093
834;Angela Robinson;146,115,900;3;48,705,300
835;Andrew Fleming;145,930,506;9;16,214,501
836;Liuxun Zimo;145,776,491;1;145,776,491
837;Robert Stevenson;145,549,035;5;29,109,807
838;James Marsh;144,940,989;8;18,117,624
839;Xie Dikui;144,830,000;2;72,415,000
840;Mamoru Hosoda;143,823,730;4;35,955,933
841;Fernando Meirelles;142,833,368;6;23,805,561
842;Jack Lee Thompson;142,266,844;14;10,161,917
843;Stephen Hillenburg;142,051,255;1;142,051,255
844;Neil Marshall;141,526,746;7;20,218,107
845;Danny Cannon;141,098,785;2;70,549,393
846;Jodie Foster;140,575,153;4;35,143,788
847;Tommy Chong;139,663,872;6;23,277,312
848;Seth Rogen;138,881,749;2;69,440,875
849;Evan Goldberg;138,881,749;2;69,440,875
850;Peter Webber;138,747,554;5;27,749,511
851;Terence Young;138,467,035;6;23,077,839
852;Zhao Ji;138,435,770;3;46,145,257
853;Gurinder Chadha;138,413,109;9;15,379,234
854;Gabor Csupo;137,984,788;1;137,984,788
855;Todd Michael Amateau;137,984,788;1;137,984,788
856;Lok Man Leung;137,878,915;2;68,939,458
857;Martha Coolidge;137,857,745;12;11,488,145
858;James Watkins;137,787,872;2;68,893,936
859;Leste Chen;137,499,618;4;34,374,905
860;Alec Su;137,173,153;2;68,586,577
861;George Nolfi;137,141,815;3;45,713,938
862;Gerard McMurray;137,054,597;2;68,527,299
863;Steve Beck;136,817,844;2;68,408,922
864;Sidney Poitier;136,781,950;4;34,195,488
865;Ruoxin Yin;136,775,504;2;68,387,752
866;Mark Neveldine;136,545,966;6;22,757,661
867;Danny Leiner;136,007,966;3;45,335,989
868;Walter Salles;136,006,502;8;17,000,813
869;Howard Hall;135,075,560;3;45,025,187
870;John Milius;134,846,657;7;19,263,808
871;Bo Welch;133,818,283;1;133,818,283
872;Bob Rafelson;133,732,502;8;16,716,563
873;Jason Kwan;133,707,498;2;66,853,749
874;Su Lun;133,650,584;1;133,650,584
875;Peter Hedges;133,535,155;4;33,383,789
876;Chris Butler;133,509,864;2;66,754,932
877;Peter Lepeniotis;133,454,417;3;44,484,806
878;Dan Mazer;133,406,980;4;33,351,745
879;Nima Nourizadeh;133,323,216;2;66,661,608
880;Dan Scanlan;133,317,030;1;133,317,030
881;Hirokazu Kore-eda;133,224,689;8;16,653,086
882;Nikolaj Arcel;132,444,804;2;66,222,402
883;Chang Yuan;132,212,367;1;132,212,367
884;David S. Ward;131,823,724;5;26,364,745
885;Sang-ho Yeon;131,810,240;3;43,936,747
886;Fedor Bondarchuk;131,070,144;5;26,214,029
887;Patricia Riggen;129,913,081;4;32,478,270
888;Seong-hoon Kim;128,927,558;3;42,975,853
889;Colin Strause;128,884,494;1;128,884,494
890;Greg Strause;128,884,494;1;128,884,494
891;Julie Anne Robinson;128,876,169;2;64,438,085
892;John Stockwell;128,826,273;12;10,735,523
893;Steve Rash;128,719,644;7;18,388,521
894;Advait Chandan;128,719,011;2;64,359,506
895;Bille Woodruff;128,679,405;7;18,382,772
896;David Breashears;128,053,530;2;64,026,765
897;Ari Aster;128,045,333;3;42,681,778
898;Stephen Judson;127,990,128;1;127,990,128
899;Valerie Faris;127,863,236;3;42,621,079
900;Jonathan Dayton;127,863,236;3;42,621,079
901;Robert Eggers;127,700,593;3;42,566,864
902;Tianyu Zhao;127,515,832;3;42,505,277
903;Ronald Neame;126,700,030;9;14,077,781
904;Lewis Teague;126,272,652;6;21,045,442
905;Henry Selick;126,037,057;2;63,018,529
906;Jack Smight;125,705,152;7;17,957,879
907;Hugh Hudson;125,438,110;7;17,919,730
908;Alexander Witt;125,168,734;1;125,168,734
909;Yorgos Lanthimos;124,934,864;5;24,986,973
910;Luis Mandoki;124,678,301;6;20,779,717
911;Tomas Alfredson;124,596,500;3;41,532,167
912;Denzel Washington;124,380,291;4;31,095,073
913;Bill Duke;124,284,878;8;15,535,610
914;Qiansen Ouyang;124,169,976;1;124,169,976
915;Chuan Lu;124,157,743;2;62,078,872
916;Martin Ritt;123,729,711;11;11,248,156
917;Miao Yue;123,725,686;4;30,931,422
918;Neil Nightingale;123,705,128;2;61,852,564
919;Greg Jacobs;123,580,421;2;61,790,211
920;Zach Braff;123,432,591;4;30,858,148
921;Barry Cook;123,368,842;1;123,368,842
922;Paul Fisher;122,737,201;1;122,737,201
923;Charlie Bean;122,737,201;2;61,368,601
924;Bob Logan;122,737,201;1;122,737,201
925;Kazuaki Imai;122,664,181;2;61,332,091
926;Carlos Lopez Estrada;121,839,733;5;24,367,947
927;Brian Taylor;121,686,004;4;30,421,501
928;Mira Nair;120,739,240;10;12,073,924
929;Sidney J. Furie;120,552,793;12;10,046,066
930;Jeremiah Chechik;120,386,771;5;24,077,354
931;Wong Kar-wai;120,173,757;13;9,244,135
932;David Lynch;120,110,491;10;12,011,049
933;David Carson;120,000,000;2;60,000,000
934;Arthur Penn;119,334,299;7;17,047,757
935;Shinji Higuchi;119,302,483;4;29,825,621
936;Kevin Munroe;119,063,507;4;29,765,877
937;David Wain;119,035,642;5;23,807,128
938;Fangfang Li;119,035,160;1;119,035,160
939;Emilio Martinez Lazaro;118,865,521;4;29,716,380
940;John Luessenhop;118,702,763;4;29,675,691
941;Wu'ershan;118,528,842;1;118,528,842
942;Goro Miyazaki;118,518,507;3;39,506,169
943;Billy Wilder;118,277,451;18;6,570,970
944;Lei Zhilong;118,128,641;1;118,128,641
945;Samuel Bayer;117,729,621;1;117,729,621
946;Robert De Niro;117,618,060;2;58,809,030
947;Nicholas Meyer;117,292,953;5;23,458,591
948;Byeong-Hun Lee;116,127,561;1;116,127,561
949;Daniel Alfredson;115,468,300;7;16,495,471
950;Todd Haynes;115,356,712;11;10,486,974
951;John Schultz;115,272,726;9;12,808,081
952;Dylan Brown;115,112,118;1;115,112,118
953;Han Tian;114,957,608;2;57,478,804
954;Alejandro Agresti;114,842,521;3;38,280,840
955;Seok-hoon Lee;114,590,392;3;38,196,797
956;Kimberly Peirce;114,379,555;4;28,594,889
957;J. Blakeson;114,095,641;4;28,523,910
958;Mike Figgis;113,858,556;13;8,758,350
959;Mike Leigh;113,019,385;13;8,693,799
960;Thomas Carter;112,436,505;3;37,478,835
961;Lin Yan;112,370,000;1;112,370,000
962;Min-ho Woo;112,102,009;3;37,367,336
963;Bernardo Bertolucci;112,024,489;10;11,202,449
964;Anton Corbijn;112,012,776;5;22,402,555
965;Anthony Stacchi;111,898,741;1;111,898,741
966;Graham Annable;111,898,741;1;111,898,741
967;Kevin Kolsch;111,871,070;3;37,290,357
968;Dennis Widmyer;111,819,678;2;55,909,839
969;Mark Pellington;111,550,048;6;18,591,675
970;Michael Cimino;111,433,511;8;13,929,189
971;Dennie Gordon;111,331,053;4;27,832,763
972;Gene Stupnitsky;111,173,598;2;55,586,799
973;Wang Baoqiang;110,203,801;1;110,203,801
974;Robin Budd;109,862,682;1;109,862,682
975;Donovan Cook;109,862,682;1;109,862,682
976;Andrew Douglas;109,175,673;2;54,587,837
977;Oxide Pang Chun;109,120,819;7;15,588,688
978;Alister Grierson;109,065,040;3;36,355,013
979;Sergey Bodrov;108,874,967;1;108,874,967
980;Joon-ik Lee;108,869,130;4;27,217,283
981;Justin Chadwick;108,516,103;3;36,172,034
982;Christophe Gans;108,313,019;4;27,078,255
983;Dan Trachtenberg;108,286,422;2;54,143,211
984;Yuzuru Tachikawa;107,918,046;2;53,959,023
985;Danny Pang;107,480,445;11;9,770,950
986;Andre Ovredal;107,467,118;6;17,911,186
987;Carroll Ballard;107,457,298;4;26,864,325
988;Park Chan-wook;107,213,392;9;11,912,599
989;Sam Peckinpah;106,892,932;13;8,222,533
990;Dmitry Dyachenko;106,892,325;6;17,815,388
991;Jang Hun;106,673,173;2;53,336,587
992;Lorna Cook;106,515,310;1;106,515,310
993;Susanna White;106,445,340;3;35,481,780
994;Rod Daniel;106,323,385;3;35,441,128
995;Stuart Rosenberg;106,254,297;6;17,709,050
996;Daniel Scheinert;106,239,587;4;26,559,897
997;Don Siegel;106,208,232;14;7,586,302
998;Daniel Kwan;106,205,731;3;35,401,910
999;Christian Ditter;106,150,300;3;35,383,433
1,000;Charles Stone III;106,106,451;6;17,684,409
